To,Body
ilug@linux.ie,"On Tue, Aug 13, 2002 at 12:22:14PM +0100, Niall O Broin wrote:
> What are the best options available on Linux ? SFTP ? WebDAV ? Something
> else ? Linux servers - Linux and Mac OS-X clients.

Can't speak for the other alternatives, but i've been using scp for
years with sexy results.

Steve, yes, it's a simpsons quote(ish).
-- 
High salt diets are bad for you - but only outside marriage.

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


"
fork@spamassassin.taint.org,"Lucas Gonze:
>Spam is *the* tool for dissident news, since the fact that it's unsolicited 
>means that recipients can't be blamed for being on a mailing list.

That depends on how the list is collected, or
even on what the senders say about how the list
is collected. Better to just put it on a website,
and that way it can be surfed anonymously. AND
it doesn't clutter my inbox.


_________________________________________________________________
Chat with friends online, try MSN Messenger: http://messenger.msn.com

http://xent.com/mailman/listinfo/fork

"
zzzzteana@yahoogroups.com,"

http://www.thisislocallondon.co.uk/news/weird/display.var.633932.Bizarre+London.0.html

An investigation has been launched after punch bags on sale in Greenwich 
were found to be stuffed with incontinence pads and bandages.

Trading standards officers, working for Greenwich Council, were alerted to 
the situation after a Bryan punch bag, purchased in Argos, in Charlton Road, 
Charlton, was found to be full of bandages.

Also stuffed inside the piece of sporting equipment was a letter from a 
woman in Fife stating how she felt quite disgusted' about the bag and asking 
for the filling to be tested.

The unfortunate shopper had bought his first bag, at Argos, in Lewisham High 
Street, but had returned it because on investigation of a leak he was 
horrified to discover it was filled with incontinence pads.

So far, officers have purchased two of the punch bags, only to find they 
contain incontinence pads and strips of shredded duvet.

Cabinet member for public services Councillor Angela Cornforth said: ""This 
is one of the strangest stories I have every heard.

""Our officers are in the process of investigating and will no doubt discover 
why the bags contain such unusual contents.""

12:18 Tuesday 8th October 2002




_________________________________________________________________
Chat with friends online, try MSN Messenger: http://messenger.msn.com


------------------------ Yahoo! Groups Sponsor ---------------------~-->
Plan to Sell a Home?
http://us.click.yahoo.com/J2SnNA/y.lEAA/MVfIAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/ 



"
zzzzteana@yahoogroups.com,"Tom R:
> http://www.cliktrik.com/people/family/me/0419.jpg
> 
Which one's you?

TimC

------------------------ Yahoo! Groups Sponsor ---------------------~-->
Plan to Sell a Home?
http://us.click.yahoo.com/J2SnNA/y.lEAA/MVfIAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/ 



"
fork@spamassassin.taint.org,"JoeBar wrote:
>C is more reliable than Java??

Depends who writes it.  One guy will write a bug every 5 lines,
another every 5000 lines.  Put them both on a project and that will
average out to a bug every 4.995 lines.
<observation type=trivial>(Irrespective of language.  Pick the one
that best suits what you're trying to do.)</observation>

R

"
William Harrison - Protocol <wharrison@pro.ie>,"I thought I read somewhere that work on phpTriad had ceased?
Setting up MySQL/PHP/Perl (activestate)/Apache on win2k server is a
piece of cake anyhow

Niall

On Wed, 2002-07-31 at 11:05, William Harrison - Protocol wrote:
> Hi Nick
> 
> Try PHPTriad
> 
>  http://download.com.com/3000-2165-6474268.html?tag=lst-0-1
> 
> ""PHPTriad is a complete PHP development and server environment for Windows.
> It installs PHP, Apache, MySQL, and PHPMyAdmin, both installing and setting
> up the environment. Version 2.11 updates all components and it now includes
> Perl 5.""
> 
> HTH
> 
> Will
> 
> 
> 
> 
> 
> _______________________________________________
> Webdev mailing list
> Webdev@linux.ie
> http://www.linux.ie/mailman/listinfo/webdev
> 



_______________________________________________
Webdev mailing list
Webdev@linux.ie
http://www.linux.ie/mailman/listinfo/webdev


"
ilug@linux.ie,"Is there a way to get my read email downloaded off webmail.eircom.net.

I've been reading the emails using the web based interface. But I've
reached my quota limit. There doesn't seem to be any way to get the
emails off the server. I can connect to the account using POP, but that
only retrieves unread emails. There's also no way to mark emails as
unread from the html interface.

Is there a way I can use fetchmail perhaps to get it to pull down all
the emails and remove them off the server.

It's been years since I've used fetchmail, I don't recall be able to do
this.

Any other suggestions welcome. There's a few hundred email so I don't
fancy going through each one forwarding it to another account.

Glen




-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


"
DNS-swap@lists.ironclad.net.au,"I'm using Simple DNS from JHSoft.  We support only a few web sites and I'd like to swap secondary services with someone in a similar position.

We have a static IP, DSL line and a 24/7 set of web, SQL, mail and now a DNS server.  As I said, we are hosting about 10 web sites, web and DNS traffic is almost nothing.  Everything is on lightly loaded APC battery backups so we are very seldom down.

I'd like to swap with someone also using Simple DNS to take advantage of the trusted zone file transfer option.



Bob Musser
Database Services, Inc.
Makers of:
   Process Server's Toolbox
   Courier Service Toolbox
BobM@dbsinfo.com
www.dbsinfo.com
106 Longhorn Road
Winter Park FL 32792
(407) 679-1539


"
zzzz@spamassassin.taint.org,"URL: http://boingboing.net/#85535421
Date: Not supplied

A Nintendo newsletter from 1987 is going for ober $700 on eBay. Link[1] Discuss
[2] _(Thanks, Billy Hayes!)_

[1] http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&item=1566539449&rd=1
[2] http://www.quicktopic.com/16/H/wUzqZdX42Az


"
ilug@linux.ie,"On Sat, Oct 05, 2002 at 06:06:14PM +0100, Padraig Brady mentioned:
> OK I'm upgrading vorbis on my machine and I'm getting
> the following:
> 
> # rpm -U libvorbis-* vorbis-tools-1.0-1.i386.rpm
> error: failed dependencies:
> 	libvorbisfile.so.0   is needed by SDL_mixer-1.2.0-4
> 	libvorbisfile.so.0   is needed by xmms-1.2.5-7
> 	libvorbisfile.so.0   is needed by tuxracer-0.61-5
> 
> This is because the new libvorbis.rpm only has libvorbisfile.so.3
> So is this a problem in the other packages depending on
> a specific version (libvorbisfile.so.0) rather than on the
> generic libvorbis.so ?

 This is a pain. 

 The only way you can resolve this, to my knowledge is to download the
original libvorbis rpm and the new one. Remove the old one, then do:

 rpm -Uvh libvorbis-*

 RPM then assumes that you want both versions installed at the same time,
and does so. Why you can't do this after you have one library already
installed is beyond me.

Kate

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie


"
ilug@linux.ie,"         |::::::::::::::::::::::::::::::::::::::::::::::::::|

                IT's Monday 520      02 September 2002

              |::::::::::::::::::::::::::::::::::::::::|



STUDENT LIFE BEGINS WITH LINUX
by
John Sterne

The launch last month of a marketing special interest group by the
Irish Linux Users Group (ILUG)  -  open source and marketing, it
seems, might not be mutually exclusive concepts  -  has already
sparked an interesting initiative at University College Cork.  When
the new academic year begins at UCC, every incoming student will
be offered a copy of Red Hat Linux 7.3.

ILUG member Braun Brelin proposed this promotion, when he ran a
training class for staff at the UCC computer science department.
Brelin, who is the director of technology at OpenApp, says that the
Linux offer could be extended to any or all of the other Irish
universities.

The user group is tapping into an international Red Hat programme
that aims to introduce students at all levels to the open source
style of computing.  The Linux distributor runs an 'educational
channel' to reach this audience, bundling educational software
with its operating environment and offering networked support
services to eligible applicants.  This scheme was originally designed
to suit the educational structures in the US, but is now available to
schools and universities throughout the world.

Red Hat Linux 7.3 incorporates ease of use and maintenance
features and is intended to counter objections that Linux is hard to
master on personal systems.

The Linux-for-all project at UCC could also raise the profile of Red
Hat Ireland.  Based in Cork, this operation has run shared financial
services for other Red Hat offices in Europe since 2000.  Until now
its involvement with users in Ireland has been fairly limited,
although it does sometimes refer them to other Red Hat offices in
Europe that offer consulting or technical support services.

David Owens, Red Hat's director of global logistics and production,
sees the formation of the ILUG marketing group as a reason to take
a more proactive approach.  In the last three months, he notes, his
office in Cork has received more and more calls from Irish
companies that are interested in adopting Linux and has introduced
some to Red Hat pre-sales consultants.


-------------
Many thanks are due to Braun and David for working together on this one.

Regards
L.

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie

"
zzz-unspun@example.com,"To view this newsletter in full-color, visit:
http://newsletter.mediaunspun.com/index000018970.cfm

M E D I A  U N S P U N
What the Press is Reporting and Why (www.mediaunspun.com)
-----------------------------------------------------------------
August 14, 2002

-----------------------------------------------------------------
IN THIS ISSUE
-----------------------------------------------------------------
* SEC EXPOSES BIG BLUE'S PINK SLIPS
* SYNERGY AND BETRAYAL AT VIVENDI
* OTHER STORIES

Media Unspun serves business news and analysis, authoritatively
and irreverently, every business day. An annual subscription
costs $50, less than a dollar a week. If your four-week free
trial is coming to an end soon, please visit
http://www.mediaunspun.com/subscribe.html and sign up via credit card 
or check.


-----------------------------------------------------------------
ADVERTISEMENT
-----------------------------------------------------------------
Ken Fisher offers his Quarterly Report for high net worth
investors FREE of cost & without obligation. Access the same
investment research he uses to guide his clients at:
http://pcg.fisherinvestments.com/newrespond/letter.asp?site=UNSP&KC=1229EFCAD0000


-----------------------------------------------------------------
SEC EXPOSES BIG BLUE'S PINK SLIPS
-----------------------------------------------------------------
Does the Securities and Exchange Commission have a press pass
yet? It seems to be bringing us all our news lately. On the day
of the deadline for companies to certify their financial
statements with the SEC, the business press squirmed and waited
for the next Enron or WorldCom. (We might eat these words
tomorrow, but we doubt it.) In an unrelated confession, IBM gave 
the commission its latest layoff numbers.

IBM talked about pink slips during its second-quarter earnings
report, but with a vagueness worthy of your daily horoscope.
(""Capricorn: Career changes may be on their way..."") Only after
""months of surreptitious layoff notices"" did the company admit
that it's cutting more than 15,600 jobs, said the AP. That's
about 5% of its workforce, and a lot more than pundits expected. 
An IBM spokesperson told the Wall Street Journal the higher
number was due to ""rebalancing"" and more employees than expected 
taking voluntary layoffs. 

Sorry, we're still back on ""rebalancing."" Did IBM ""rightsize""
last quarter, too?

IBM's news was still trickling out Wednesday morning, but some
details were available. About 1,400 workers got cut from IBM's
microelectronics unit, and most of the rest were from IT
services and consulting. (That ought to make IBM's new employees 
from PricewaterhouseCoopers feel all warm and fuzzy inside.)
Look for news updates from cities that will see the cuts, such
as Austin and Raleigh. 

OK, none of this is good. Two years into the tech slump, we're
still tired of seeing people get sacked. But was it really so
bad that IBM only revealed it because of new accounting
regulations? Nah, Big Blue was always known for ""stealth
layoffs,"" as CNN put it, but current corporate scrutiny forced
it to 'fess up for once. Until now, IBM would acknowledge the
latest layoffs if reporters called and asked, but wouldn't give
specifics. Yeesh. - Jen Muehlbauer

IBM Cut 5% of Staff in Period, Double the Expected Number
http://online.wsj.com/article/0,,SB1029282408667791835,00.html
(Paid subscription required.) 

IBM to Cut Over 15,000 Employees (AP)
http://tinyurl.com/10kz

IBM confirms 15,600 job cuts (Reuters)
http://www.msnbc.com/news/793777.asp 

IBM cutting 15,000 jobs 
http://news.com.com/2100-1001-949677.html

IBM job cuts exceed 15,600
http://money.cnn.com/2002/08/13/technology/ibm/index.htm

IBM puts job cuts at 15,600, with fewer than 50 in this state
http://seattlepi.nwsource.com/business/82508_ibm14.shtml

-----------------------------------------------------------------
ADVERTISEMENT
-----------------------------------------------------------------
You've heard about identity management, but do you know about
the opportunities and business models that will emerge as a
result? Download a free executive summary of Esther Dyson's coverage of
identity management in Release 1.0. Learn more about the
expanding market for these services and applications.
http://release1.edventure.com/executivesummary.cfm?MCode=Unspun

-----------------------------------------------------------------
SYNERGY AND BETRAYAL AT VIVENDI
-----------------------------------------------------------------
Synergy always was a fuzzy concept. Now Vivendi Universal's top
man has slammed the lid on it. The French company announced
today that it's ready to peddle $9.8 billion in assets to rustle 
up some cash. First up on the block? Synergy-less U.S. book
publisher Houghton Mifflin. 

It's unclear whether new chairman Jean-Rene Fourtou has genuine
turnaround muscle, or whether he and Vivendi's board are simply
following the winds of post-merger fashion. But when you owe
$18.7 billion, you get real practical, real fast. The Guardian
reported that Vivendi's share price sank 5% on Tuesday when
investors got the willies about the company's impending
announcement on its financial health. But the company had
positive news to report: It's making money. Revenue in the first 
half was up 13%, higher than analysts' estimates of a 7.7%
boost. 

Details are scant on the breadth of Fourtou's restructuring
efforts, with more information expected at the next board
meeting on September 25, according to reporters. Houghton
Mifflin, acquired a year ago for $1.7 billion, and a vague
explanation that included the ""Curious George"" character, were
the only properties named for sale so far. The Guardian
speculated that Vivendi will also sell its U.S. video games
business and possibly its stake in the French mobile phone
company SFR, a debatable sale because of the cash it generates,
according to the newspaper. 

Meanwhile, Fourtou's predecessor, Jean-Marie Messier, continues
to advocate empire-building. The New York Post said its sources
say Messier hopes his former employer will feel generous enough
to let him continue to reside in his $17 million Manhattan
abode. And Bloomberg reported earlier this week that an
unrepentant Messier is penning a memoir as he vacations in the
Mediterranean. The working title? ""How I Was Betrayed.""  -
Deborah Asbrand 

Vivendi to Sell Publisher Houghton Mifflin (Reuters)
http://www.washingtonpost.com/wp-dyn/articles/A15954-2002Aug14.html

Vivendi investors expect the worst
http://www.guardian.co.uk/business/story/0,3604,774190,00.html

Vivendi to Sell $9.8 Billion In Assets, Including Houghton
http://online.wsj.com/article/0,,SB102931297119161715,00.html
(Paid subscription required.) 

Ousted Messier Aims To Score $17m Vivendi Pad
http://www.nypost.com/business/54701.htm

Ex-Chief of Vivendi Plans Tell-All Book (Bloomberg)
http://www.nytimes.com/2002/08/12/business/media/12VIVE.html

-----------------------------------------------------------------
OTHER STORIES
-----------------------------------------------------------------
A Top AOL Manager Has Left Company
http://www.nytimes.com/2002/08/14/technology/14AOL.html

Fed Holds Steady on Interest Rates 
http://www.washingtonpost.com/wp-dyn/articles/A14636-2002Aug13.html

Amtrak halts all high-speed service after finding cracks
http://www.sunspot.net/bal-te.train14aug14.story

AOL lets resigning exec keep stock options 
http://www.usatoday.com/money/industries/technology/2002-08-13-aol-pittman_x.htm

Lucent licensing deal with Winstar focus of probe (AP)
http://www.bayarea.com/mld/mercurynews/business/3861117.htm

Study Says Net Could Benefit Music Firms
http://www.latimes.com/business/la-fi-music14aug14.story

Eisner Crimping His Own Style
http://www.latimes.com/business/la-fi-disney14aug14.story

Severance claims by Enron former execs anger ex-workers
http://www.chron.com/cs/CDA/story.hts/business/1533657

Princeton removes dean after Yale Web site flap (AP)
http://www.siliconvalley.com/mld/siliconvalley/3857890.htm

Frisbee golf creator dies, may land on someone's roof (SF
Chronicle)
http://seattlepi.nwsource.com/national/82560_frisbee14.shtml

Will Kinsley's Slate Get Wiped?
http://www.ojr.org/ojr/kramer/1029281360.php

Hollywood, Russian Bicker Over Bass
http://www.cnn.com/2002/SHOWBIZ/News/08/13/bassspace.hollywood.ap/

-----------------------------------------------------------------
Do you want to reach the Net's savviest audience?
Advertise in Media Unspun.
Contact Erik Vanderkolk for details at erikvanderkolk@yahoo.com 
today.

-----------------------------------------------------------------
STAFF
-----------------------------------------------------------------
Written by Deborah Asbrand (dasbrand@world.std.com), Keith
Dawson (dawson@world.std.com), Jen Muehlbauer
(jen@englishmajor.com), and Lori Patel (loripatel@hotmail.com).

Copyedited by Jim Duffy (jimduffy86@yahoo.com). 

Marketing: Cowpoke Productions (cowpokeproductions.com).
Advertising: Erik Vanderkolk (erikvanderkolk@yahoo.com). 

Editor and publisher: Jimmy Guterman (guterman@vineyard.com).

Media Unspun is produced by The Vineyard Group Inc. 
Copyright 2002 Media Unspun, Inc., and The Vineyard Group, Inc.
Subscribe already, willya? http://www.mediaunspun.com 

Redistribution by email is permitted as long as a link to
http://newsletter.mediaunspun.com is included.

-|________________
POWERED BY: http://www.imakenews.com
To be removed from this list, use this link:
http://www.imakenews.com/eletra/remove.cfm?x=mediaunspun%2Czzz-unspun@example.com
To receive future messages in HTML format, use this link:
http://www.imakenews.com/eletra/change.cfm?x=mediaunspun%2Czzz-unspun@example.com%2Chtm
To change your subscriber information, use this link:
http://www.imakenews.com/eletra/update.cfm?x=mediaunspun%2Czzz-unspun@example.com

"
Russell Turpin <deafbox@hotmail.com>,"On Fri, 6 Sep 2002, Russell Turpin wrote:
--]want more kids, we have to convince people who are
--]in their twenties to become parents.
--]

Hey give me a break, I was working on finding the right mate. Once I did,
boomsky theres a puppy and if you would kindly not put on So much preasure
there culd well be another.
3 is a magic number...yes it is , its a magic number




"
"""divx@lists.divx.com"" <divx.at.lists.divx.com@DivX.at.krieger.mailshell.com>","DivX News (Number 21, 2002-07-26)
=================================
What's Hot in the World of DivX(tm) Video This Week:
DivX Affiliate Program, Nobody in DivX, and New Player Skins
Now Sent to Over 1.6 Million DivX Fans Worldwide!


  Welcome to this week's edition of DivX News, your weekly fix of
  information about what's hot and what's cool in the world of
  DivX video.

  (You are being sent this email because you subscribed to this
  newsletter at DivX.com. If you'd like to unsubscribe, follow
  the instructions at the end of this message.)


  In This Week's Issue
